Qty,Value,Device,Package,Parts
3,,CONN_02,1X02,"J2, J3, J4"
1,,CONN_04,1X04,J5
1,,CONN_051.27MM,1X05_1.27MM,J6
2,,SJ,SJ,"SJ1, SJ2"
1,,USB-C-BREAKOUT_SPARKFUN-CONNECTORS_USB_C16PIN,USB-C-BREAKOUT_SPARKFUN-CONNECTORS_USB-C-16P,J1
10,100n,C0603,0603-C,"C5, C6, C7, C8, C9, C10, C11, C12, C13, C14"
4,10k,R0402,0402-R,"R7, R8, R9, R10"
2,120,R0402,0402-R,"R5, R6"
2,2.2u,C0603,0603-C,"C15, C16"
2,22,R0402,0402-R,"R1, R2"
2,22p,C0603,0603-C,"C1, C2"
2,4.7u,C0603,0603-C,"C3, C4"
2,5.1k,R0402,0402-R,"R3, R4"
1,BAS40,BAS40,SOT23,D1
1,CRYSTAL-3.2X2.54-PIN,CRYSTAL-3.2X2.54-PIN,XTAL-3.2X2.5,Y1
1,MIC5233-3.3YM5-TR,MIC5233-3.3YM5-TR,SOT95P280X145-5N,IC1
1,MIC5233-5.0YM5-TR,MIC5233-5.0YM5-TR,SOT95P280X145-5N,PS1
2,MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,TACTILE_SWITCH_SMD_6.0X3.5MM,"S1, S2"
1,NMOSFET,NMOSFETSOT23,SOT23,Q2
1,PMOSFET,PMOSFET_SOT23,SOT23,Q1
1,STM32F413RGT6,STM32F413RGT6,LQFP64-10X10MM,U1
3,TJA1042,TJA1042,NXP_SEMICONDUCTORS_TJA1042T-3-CM_118_0,"U2, U3, U4"
